videoId,title,viewCount,likeCount,commentCount,publishedAt
F9sLk3EdLP4,Falopa y programando un server DNS en C#  (parte 4),3411,215,3,2024-05-05T01:03:12Z
HLC0YXVc5mA,¡Falopa! Ahora que tengo tu atención... ¡Falopa!,0,0,0,2024-05-05T00:50:00Z
cncI9_3Io2c,"Falopa, Q&A y... eso.",4677,414,11,2024-04-28T00:38:14Z
NxMpm10Ybd4,Vamo' a (charlar y) programar un server DNS en C# (parte 3) | Live coding,5104,331,3,2024-04-22T01:36:54Z
IZAYA37KUHk,C# no es un lenguaje de backend.,26527,2812,246,2024-04-17T17:35:06Z
SiAJaFNYv2g,Vamo' a programar un server DNS en C# (parte 2) | Live coding,6665,377,9,2024-04-15T01:27:46Z
2wfahAD_kWQ,Vamo' a programar un server DNS en C# (parte 1) | Live coding,6622,518,18,2024-04-08T00:55:57Z
t6w71ApsNa0,Juegos que te enseñan a programar o algo así.,6839,493,14,2024-03-25T00:53:19Z
D93lvc2-kDk,"La AI nos quitó el trabajo (otra vez) | Devin, Figure, falopa y más.",6821,456,29,2024-03-18T00:25:21Z
f9JwsSxp5NQ,Entrevista a un senior de StackOverflow.,9907,1449,136,2024-03-14T21:36:39Z
Svm2CZQVUPg,C# no es para programar juegos.,44109,5245,448,2024-03-11T17:39:42Z
-CnV_pLJv7E,"Cómo hacer un server HTTP con Maizena y C# (Parte 4, estoy cansado, jefe)",3621,251,4,2024-03-11T00:45:59Z
3ut5_Og1XBY,"Cómo hacer un server HTTP con Maizena y C# (Parte 3, la venganza de la venganza)",2938,222,5,2024-03-04T00:40:21Z
ld4ATgKskH4,"Cómo hacer un server HTTP con Maizena y C# (Parte 2, la venganza de la Maizena)",5244,380,12,2024-02-26T02:25:51Z
q8ttiG4yih0,Cómo hacer un server HTTP con Maizena y C#.,10455,696,34,2024-02-19T00:06:08Z
l5StxtIQ25k,La habilidad más importante que no estás practicando.,32339,3867,211,2024-02-17T18:14:20Z
3RMVkiGToio,Te falta pasión.,20790,3538,242,2024-01-10T18:00:01Z
lHJv5_1VL2o,Teoría de grafos | Te lo explico así nomás.,19252,2779,158,2023-12-22T17:41:25Z
swzomZt8H30,Dejá de usar if else como junior.,143797,13774,519,2023-12-05T20:50:36Z
QgZmaHOiIu8,Empresa grande vs empresa chica | ¿Dónde programar?,17572,2293,169,2023-11-28T21:14:11Z
dRS177CMgAA,¡Falopa! Ahora que tengo tu atención... ¡Falopa!,6741,529,28,2023-11-26T21:11:01Z
JMzoBcPpwhk,Usando AI para RECUPERAR MI HONOR.,19313,2517,199,2023-11-21T21:09:58Z
EHWK9XA_kck,Vamo' a estudiar/codear🍅 20/5 Pomodoro + Lo-fi + Q&A 🍅,17953,1150,41,2023-11-14T23:27:57Z
FlO796ke0AI,Dejá de perder tiempo.,70049,9155,584,2023-11-07T20:00:07Z
Lv9nGxpAJrY,🔴 ANALIZANDO SUS PORTFOLIOS 🔴,16073,865,40,2023-10-29T01:38:52Z
0wQ7Jc9QZMI,Dejá de estudiar programación.,73598,6614,399,2023-10-15T21:20:46Z
SoblGnOSHws,"Por qué dejé la universidad | ¿Carrera, autodidacta o bootcamps para ser programador?",45205,5235,469,2023-09-30T21:00:11Z
bsNsgoKPhOY,¿Qué es un algoritmo y por qué debería importarte? | Te lo explico así nomás.,19244,2689,243,2023-09-16T21:41:18Z
TcOsGIrudMA,¡Falopa! Ahora que tengo tu atención... ¡falopa!,9714,968,26,2023-09-10T01:28:43Z
nd8Ej6oZGUc,¿Cuántos lenguajes de programación aprender?,14892,2148,162,2023-09-07T20:55:14Z
H3SjxCu3OGw,Qué hace un programador | 5 cosas que hago a diario.,38959,4427,220,2023-08-23T21:00:07Z
EvKm8yhM7V8,HTML en 5 minutos | Te lo explico así nomás.,36311,3863,325,2023-08-11T16:00:21Z
fIAyeAAhecE,Cómo reemplazar juegos por programación.,85941,9944,491,2023-08-03T18:05:03Z
oQcDGpsUgNk,Más allá del código | 3 habilidades para ser mejor programador,74509,8545,449,2023-07-26T20:30:03Z
mBXLq_Jx2rc,Programar: expectativa vs realidad.,14224,2097,146,2023-07-21T02:35:21Z
BTDI9Je1UWY,El mejor lenguaje para un programador | Cómo mejoré mi inglés para trabajar para USA,51401,6410,466,2023-07-15T23:57:34Z
WIrXzM2c4mw,Mejorá ESTO y conseguí tu PRIMER TRABAJO de PROGRAMADOR.,32875,4276,453,2023-07-10T21:35:59Z
NaRmvm8dq-M,4 ideas CLAVE para APRENDER a PROGRAMAR.,41534,4801,346,2023-07-06T13:00:13Z
c2EJRboAYL4,Mirá esto ANTES de aprender a PROGRAMAR.,165445,14196,764,2023-06-29T12:38:13Z
oSr0MD6TsCY,¿Ser PROGRAMADOR FREELANCE como PRIMER TRABAJO?,28670,2741,111,2023-06-24T20:05:59Z
aqRngiqaX4Q,¿No importa tu PRIMER LENGUAJE de PROGRAMACIÓN?,33257,3230,228,2023-06-21T23:43:41Z
B4CqKTxsYv4,Día en la vida de un PROGRAMADOR SENIOR (ARG),151938,9471,857,2023-06-19T12:00:13Z
